,pull_request_id,numEmoji,merged
462,15172484,8,0
463,15153811,7,0
464,15132450,9,0
465,15141350,9,0
466,15004912,1,1
467,14886278,1,1
468,15196303,1,1
469,15206274,1,1
470,15206167,1,1
471,15183629,2,1
472,15092041,4,1
473,15049369,1,1
474,13204098,5,1
475,15052853,1,1
476,15145717,1,1
477,15269242,1,1
478,15244884,1,1
479,13869407,1,1
480,15267994,1,1
481,15293384,1,1
482,15316940,1,0
483,15189348,1,1
484,15312116,1,1
485,15214203,1,1
486,15310398,1,1
487,15323846,1,1
488,15318861,1,1
489,15357912,1,1
490,13496814,4,0
491,14975735,2,1
492,15313982,1,0
493,15356820,1,0
494,15387627,1,1
495,15396231,1,1
496,15320902,2,1
497,15396989,1,1
498,15410605,1,1
499,15416839,1,1
500,15429211,1,1
501,15437614,10,0
502,15443158,8,0
503,15438341,9,0
504,15354333,1,1
505,15450609,1,1
506,15455654,2,1
507,15456738,1,0
508,15424918,1,0
509,15467078,1,1
510,15119231,4,0
511,15283871,1,0
512,15445713,1,1
513,15472813,1,1
514,15476227,1,0
515,15182742,1,0
516,15480629,1,1
517,15480290,9,1
518,15133105,3,0
519,15411086,1,1
520,15457684,1,0
521,15457167,1,1
522,15145462,1,0
523,15464642,2,1
524,15501326,1,1
525,15042297,1,0
526,15407720,1,1
527,15505760,1,1
528,15508033,1,0
529,15455442,7,0
530,14580186,1,0
531,15541147,1,1
532,15376957,1,1
533,15458541,1,1
534,15555856,1,0
535,15520867,5,0
536,15550287,2,0
537,15496951,1,1
538,15230106,1,1
539,15557536,1,1
540,15344567,1,0
541,15609840,1,1
542,15609873,1,1
543,15617629,1,1
544,15626577,1,1
545,15638806,2,0
546,15645607,2,0
547,15639151,1,1
548,15655006,1,0
549,15637295,1,1
550,15671964,14,1
551,15603194,19,1
552,15530559,1,0
553,15677824,1,0
554,15541121,1,0
555,8084190,1,0
556,15680736,1,1
557,15590475,1,0
558,15689174,3,1
559,15700267,1,1
560,15721515,1,1
561,15723370,1,1
562,15727977,1,0
563,15660852,1,1
564,15686692,1,0
565,15754367,1,0
566,15755906,1,1
567,15746657,1,0
568,15697317,12,1
569,15642524,1,0
570,15816109,3,1
571,15773455,1,0
572,15822633,2,0
573,15802472,1,0
574,15833842,1,1
575,15811314,2,0
576,15846646,2,1
577,15860907,1,0
578,15854402,1,0
579,15885903,1,1
580,15836429,1,1
581,15889769,1,1
582,15902254,1,1
583,15908644,1,0
584,15908821,1,0
585,15908497,1,0
586,15623050,1,1
587,15900217,2,0
588,15942642,1,0
589,15824732,1,0
590,15926175,3,1
591,15939089,1,0
592,15918088,1,1
593,15972854,1,1
594,15959888,2,1
595,15836734,1,1
596,15662525,2,0
597,15990088,1,1
598,15990739,1,1
599,15949517,1,0
600,16005700,1,0
601,15851266,1,1
602,15994655,1,1
603,16011494,6,1
604,16001212,1,1
605,15988323,2,1
606,16023307,1,0
607,16024007,3,1
608,16025087,1,1
609,16008427,2,1
610,16034005,1,1
611,15991645,1,1
612,16008516,1,1
613,15988444,1,1
614,16058089,2,1
615,16073928,1,1
616,16085750,1,0
617,15985978,2,1
618,16105071,1,1
619,16122114,1,0
620,16126672,1,1
621,16037100,1,1
622,16081937,3,1
623,16033586,3,1
624,16150373,1,1
625,15993697,1,1
626,16029180,2,1
627,16163583,1,1
628,16183417,1,1
629,16183076,3,0
630,16136562,1,1
631,16017913,1,1
632,16194537,1,0
633,16196054,1,1
634,16191050,3,1
635,16155687,1,0
636,16216214,1,1
637,16215213,3,1
638,14570477,1,1
639,16205425,1,0
640,16210564,2,1
641,16270134,1,1
642,16146053,1,1
643,16275655,2,1
644,16277039,1,1
645,16279776,5,1
646,16208378,1,1
647,16144095,1,1
648,16300432,1,1
649,16108073,1,1
650,16302718,1,0
651,16302958,1,1
652,16303049,1,1
653,16303262,1,0
654,16303993,1,1
655,16279005,1,1
656,16331283,2,1
657,15114521,1,1
658,16313857,2,0
659,16145687,2,1
660,15936942,1,1
661,16257629,1,1
662,16173503,3,1
663,16357845,1,1
664,16335558,1,1
665,16372002,1,1
666,16373759,1,1
667,16371611,1,1
668,16225847,1,1
669,16297767,2,1
670,16367700,1,1
671,15212770,1,1
672,16303204,1,1
673,16371956,1,1
674,16404417,4,1
675,16407376,1,1
676,16388154,1,1
677,16419821,1,1
678,16420020,1,1
679,16430217,1,1
680,16337153,1,1
681,16446507,2,1
682,16460884,1,0
683,16435814,1,1
684,16391084,1,1
685,15734376,1,1
686,16482742,1,1
687,16467781,3,0
688,16401576,1,1
689,16489236,1,1
690,16486598,1,1
691,11199456,1,0
692,13293135,1,1
693,16299672,1,1
694,16329088,1,1
695,16495519,1,1
696,16438598,1,1
697,16525082,1,1
698,16534237,2,1
699,16512244,2,1
700,16518443,1,1
701,16511506,1,1
702,16074494,1,1
703,16475330,2,1
704,16446748,1,1
705,16576631,1,1
706,16527210,3,1
707,16524871,1,1
708,16579387,1,1
709,16586885,1,1
710,16353012,1,0
711,16526102,2,0
712,16603781,1,1
713,15852893,1,1
714,16621807,3,0
715,16610069,1,0
716,6665361,1,0
717,16634592,1,1
718,16587412,1,1
719,16141775,1,1
720,16606839,1,0
721,16641894,1,0
722,16624930,1,1
723,16641584,1,0
724,16638022,4,1
725,16662324,1,1
726,16664339,1,1
727,16645511,2,1
728,16670079,1,1
729,16672934,1,1
730,16677294,3,1
731,15866817,1,1
732,16681942,1,1
733,16679158,1,1
734,14779638,1,1
735,16711932,1,1
736,16561741,1,1
737,16719289,1,1
738,16701098,1,1
739,16759463,1,1
740,16738604,1,1
741,16625541,1,1
742,16742451,1,1
743,16781329,1,1
744,16788404,2,1
745,16615896,1,1
746,16757352,1,1
747,16758710,3,1
748,16809312,1,1
749,16726561,1,1
750,16797262,1,1
751,16819869,7,0
752,16811755,1,1
753,16127287,1,0
754,16827309,1,1
755,16697964,1,1
756,16827163,1,1
757,16651212,1,1
758,16771021,2,1
759,16851262,1,1
760,16800093,1,0
761,16837880,1,1
762,16864690,1,0
763,16755994,1,1
764,16854057,1,0
765,16850589,1,1
766,16880040,2,1
767,16880693,1,1
768,16875451,8,1
769,16879582,1,1
