,res_time
577,0.7320000000000001
578,0.384
579,7.452
580,0.384
581,2.898
582,6.666
583,3.9360000000000004
584,993.7320000000001
585,234.768
586,1.584
587,0.264
588,2.0820000000000003
589,16.002
590,132.918
591,19.434
592,1.134
593,1.7999999999999998
594,2.784
595,2.652
596,1.734
597,1.536
598,10.566
599,1431.198
600,1.4340000000000002
601,0.5820000000000001
602,8.586
603,1.902
604,0.882
605,6739.518
606,7.434
607,0.348
608,0.28200000000000003
609,5.3340000000000005
610,95.634
611,85.5
612,7.085999999999999
613,1.632
614,5.064
615,5.034
616,11557.65
617,9.75
618,0.018
619,3721.686
620,11.286
621,261.918
622,740.316
623,10.35
624,4.302
625,1.134
626,4.482
627,1.902
628,2.25
629,6.516
630,1.5
631,1.7999999999999998
632,7.668
633,3.15
634,0.486
635,23.214000000000002
636,1.698
637,1.284
638,7.152
639,1.3499999999999999
640,31.836
641,2.4
642,2.514
643,28.584
644,208.164
645,4.584
646,14.982000000000001
647,0.318
648,2.4659999999999997
649,18.102
650,2.268
651,28.2
652,1342.9979999999998
653,0.252
654,8.436
655,1.548
656,243.066
657,7.614000000000001
658,6.798
659,108.0
660,11.886
661,0.648
662,106.686
663,5.418
664,1.548
665,17.634
666,1.182
667,165.618
668,1.5
669,26.148
670,13.836
671,0.414
672,0.102
673,1.302
674,23.736
675,1283.832
676,1133.664
677,3.3480000000000003
678,1.9680000000000002
679,0.186
680,0.7979999999999999
681,1.152
682,0.168
683,6.7860000000000005
684,4479.636
685,2.184
686,2.5020000000000002
687,0.114
